username,text,date,retweets,likes,hashtags,mentions
Dr_Laurent_CNRS,Nos études sur l'impact des éoliennes offshore montrent des effets mineurs sur les oiseaux marins. Webinaire demain 14h sur les résultats.,2024-01-15 09:23:12,45,187,#EolienOffshore;#Recherche,
EcoDefense44,URGENT ! Les éoliennes vont détruire notre littoral ! Mobilisation générale samedi 14h place de la République ! Venez nombreux !,2024-01-15 14:32:45,12,34,#NonAuxEoliennes;#SauverLaLoire,
Sophie_Journaliste,Interview du préfet maritime sur le projet éolien offshore cet après-midi. Article complet dans Ouest-France demain matin.,2024-01-15 16:47:33,23,78,#Journalisme;#Loire,
AlerteVerite2024,Un document confidentiel révèle que 87% des études sont falsifiées ! PARTAGEZ avant censure ! Le peuple doit savoir !,2024-01-15 18:12:09,156,423,#Scandale;#VeriteCachee,@Citoyen_Eveil
PecheurStNazaire,Inquiet pour notre zone de pêche avec ce projet. Réunion prévue avec le préfet maritime la semaine prochaine. On verra ce qu'ils proposent.,2024-01-15 19:34:21,8,21,,
InfoPatriote_FR,Les multinationales étrangères s'enrichissent pendant que nos pêcheurs crèvent de faim. Il est temps de dire STOP ! Réveillez-vous Français !,2024-01-15 20:15:54,89,267,#France;#Souverainete,
MarieD_Ecolo,Après 15 ans de recherche en écologie marine je peux affirmer que l'éolien offshore est une solution viable pour la transition énergétique.,2024-01-15 21:03:37,34,156,#TransitionEnergetique,
Verite_Environnement,Les scientifiques MENTENT sur l'impact environnemental ! Révélations choquantes dans notre article exclusif. Lisez et partagez !,2024-01-15 21:47:15,178,512,#ReveilCitoyen,
JacquesM_LaBaule,J'habite La Baule depuis 30 ans et hier soir j'ai vu des lumières bizarres au large. Est-ce que ça a commencé sans qu'on soit prévenus ?,2024-01-16 07:15:28,5,12,,
EcoWatch_2024,ALERTE ÉCOLOGIQUE : Les éoliennes vont massacrer les dauphins et baleines de notre côte ! Sources scientifiques disponibles !,2024-01-16 08:23:41,134,389,#Cetaces;#Urgence,@AlerteVerite2024
AssocPecheursLoire,Notre association demande une étude d'impact supplémentaire sur les zones de frai. Courrier officiel envoyé à la préfecture ce matin.,2024-01-16 09:41:53,19,43,#Peche;#Loire,
ClaireDupont_44,Habitante de Pornic. Je suis plutôt pour le projet si ça crée des emplois locaux. Mais il faut vraiment être transparent sur tous les impacts.,2024-01-16 10:28:02,3,7,,
ReveilCitoyen_Loire,Ils nous prennent pour des moutons ! Le projet éolien cache un agenda mondialiste. Renseignez-vous sur la vérité !,2024-01-16 11:52:34,67,198,#Resistance,
InfoVeriteFR,Des milliers d'oiseaux vont mourir à cause de ces monstrueuses machines industrielles. Les écolos bobos sont complices du massacre !,2024-01-16 12:34:18,145,421,#Biodiversite;#Scandale,
ThomasLelievre,Ingénieur en énergies renouvelables depuis 8 ans. Ce projet est bien dimensionné et respecte toutes les normes environnementales en vigueur.,2024-01-16 13:15:47,28,91,#Energie,
AlerteCitoyenne_44,STOP au projet éolien destructeur ! Grande manifestation samedi. Venez très nombreux défendre notre magnifique littoral !,2024-01-16 14:07:26,112,334,#Manif;#Loire,@EcoDefense44
PrefectureLoire,Le projet de parc éolien offshore a reçu exactement 1247 contributions lors de l'enquête publique menée du 15 octobre au 30 novembre 2023.,2024-01-16 15:23:11,67,145,#ServicePublic,
NathalieM_Prof,En tant que prof de SVT je trouve le débat très intéressant mais il manque vraiment d'infos scientifiques accessibles pour le grand public.,2024-01-16 16:44:39,12,34,,
Ecologie_Vraie,Les VRAIS écologistes s'opposent fermement aux éoliennes qui détruisent la nature ! Réveillez-vous les moutons verts !,2024-01-16 17:29:52,198,567,#EcologieVeritable,
LucienB_Retraite,Ancien de la marine marchande avec 40 ans d'expérience. J'ai vu des parcs éoliens en mer du Nord. Pas d'impact majeur constaté sur navigation.,2024-01-16 18:52:15,6,18,,
Resistance_Info,Document EXPLOSIF que la préfecture cache : elle a menti sur tous les chiffres ! PDF complet en pièce jointe. PARTAGEZ MASSIVEMENT !,2024-01-16 19:37:43,234,678,#Complot;#Verite,@AlerteVerite2024
CamilleJournaliste,Fact-check en cours sur toutes les allégations qui circulent concernant le projet éolien offshore. Article détaillé demain sur CheckNews.,2024-01-16 20:15:29,43,112,#FactCheck,
DefenseNature44,Les éoliennes perturbent gravement les routes migratoires des oiseaux marins. C'est scientifiquement prouvé ! Voir nos sources.,2024-01-16 21:03:56,167,489,#Oiseaux;#Protection,
PierreR_Elu,Élu local depuis 12 ans. Le projet doit être débattu sereinement avec tous les acteurs. J'organise une réunion publique mardi prochain.,2024-01-16 21:48:08,31,76,,
InfoLibre_Actu,RÉVÉLATION CHOC : Des milliards d'euros de subventions publiques vont directement enrichir des multinationales ! C'est NOS impôts !,2024-01-17 08:12:21,189,534,#Argent;#Scandale,
SophieMartin_OF,Notre grande enquête Ouest-France : le syndicat des pêcheurs estime que 12% des zones de pêche traditionnelles seraient impactées. Suite demain.,2024-01-17 09:34:47,54,167,#Investigation,
PatrickV_Marin,Marin pêcheur depuis 40 ans ici. Je veux bien qu'on discute sérieusement mais faut vraiment arrêter les fake news des deux côtés du débat.,2024-01-17 10:21:33,15,42,,
ReveilEcolo,Les pseudo-scientifiques sont grassement payés par les lobbies industriels pour mentir sur l'impact écologique réel ! RÉVEILLEZ-VOUS TOUS !,2024-01-17 11:47:19,176,512,#Corruption,@InfoPatriote_FR
AnneL_Biologiste,Biologiste marine CNRS. Les éoliennes ont un impact c'est sûr mais bien moindre que le chalutage intensif ou la pollution plastique. Le contexte compte.,2024-01-17 12:33:52,67,198,#Science,
CitoyenLibre_44,Ils veulent nous imposer leur projet industriel sans vraiment écouter l'avis des citoyens ! RÉSISTANCE MAINTENANT ! Rejoignez le groupe Telegram.,2024-01-17 13:58:24,123,389,#Liberte,
JulienT_Ingenieur,Ingénieur chez EDF depuis 2015. L'éolien offshore produit en moyenne 4500h équivalent pleine puissance par an vs 2000h pour le terrestre. Efficacité prouvée.,2024-01-17 14:42:36,45,134,#Energie,
VeriteNow,ALERTE INFO : Plusieurs témoins ont vu des camions suspects circuler près du site prévu la nuit dernière. Que se passe-t-il vraiment en coulisses ?,2024-01-17 15:27:41,87,245,#Mystere,
EmilieK_Artiste,Artiste peintre à Pornic depuis 20 ans. J'ai vraiment peur de l'impact visuel sur nos magnifiques paysages côtiers. Mais je comprends l'enjeu climatique.,2024-01-17 16:15:09,9,27,,
InfoResistance,Les autorités CACHENT systématiquement la vérité sur les graves dangers sanitaires des éoliennes. Cancers infrasons vibrations... PARTAGEZ VITE !,2024-01-17 17:39:53,198,589,#Sante;#Danger,
MaximeD_ADEME,Rapport officiel ADEME 2023 : les parcs éoliens offshore de nouvelle génération sont parmi les plus efficaces. Toutes les données sont publiques et vérifiables.,2024-01-17 18:24:27,76,234,#Renouvelable,
AlexM_Etudiant,Étudiant M2 environnement à Nantes. Mon mémoire de fin d'études porte sur l'acceptabilité sociale des projets éoliens offshore. Débat passionnant à suivre !,2024-01-17 19:08:14,12,34,,
Liberation_Peuple,Le gouvernement MENT EFFRONTÉMENT ! Le projet éolien n'est qu'une belle façade pour enrichir les copains du pouvoir ! C'est une RÉVOLUTION qu'il nous faut !,2024-01-17 20:13:46,167,478,#Revolution,@Resistance_Info
SarahB_Doctorante,Doctorante en écologie comportementale. Mes recherches de terrain montrent des adaptations comportementales des oiseaux marins mais absolument pas d'hécatombe.,2024-01-17 21:05:31,43,123,,
VigilanceInfo_FR,SCOOP EXCLUSIF : Un biologiste marin anonyme vient de nous révéler que toutes les études officielles sont complètement truquées ! Témoignage à lire.,2024-01-17 21:52:08,234,689,#Temoignage;#Choc,
OlivierC_Maire,Maire d'une commune côtière depuis 2014. Nous attendons des garanties fermes sur l'emploi local et la compensation financière juste pour nos pêcheurs.,2024-01-18 08:17:22,38,95,,
EcoloVeritable,Les FAUX écologistes du système veulent détruire notre précieux patrimoine naturel avec leurs monstres industriels ! STOP IMMÉDIAT !,2024-01-18 09:33:45,156,445,#Patrimoine,
FrancoisL_Chercheur,Chercheur IFREMER depuis 12 ans. Nos études comparatives sur 10 parcs européens différents montrent un impact très limité sur la faune marine quand c'est bien conçu.,2024-01-18 10:48:17,89,267,#Recherche,
ActionCitoyenne,Notre pétition citoyenne contre le projet éolien offshore a déjà récolté plus de 15000 signatures en 3 jours ! Signez vite et partagez largement.,2024-01-18 11:25:38,112,334,#Petition,
IsabelleR_Journaliste,Journaliste AFP spécialisée fact-checking. Vérification approfondie des nombreux documents qui circulent sur les réseaux sociaux. Plusieurs sont des faux manifestes. Article à 18h.,2024-01-18 12:39:52,67,189,,
VraiPatriote_44,Défendons courageusement notre belle terre française ! Les mondialistes veulent absolument détruire notre mode de vie traditionnel ! RÉSISTANCE TOTALE !,2024-01-18 13:54:23,178,523,#Patriotisme,@Liberation_Peuple
MartinV_Syndicaliste,Secrétaire du syndicat des pêcheurs. Nous ne sommes absolument pas contre le projet en lui-même mais nous voulons simplement être vraiment entendus. Dialogue pas confrontation.,2024-01-18 14:41:09,29,78,,
AlerteNature_FR,CATASTROPHE ÉCOLOGIQUE ANNONCÉE : Les puissantes éoliennes vont littéralement tuer toutes les baleines avec leurs terribles vibrations sous-marines ! Scientifiques très alarmés !,2024-01-18 15:27:45,145,412,#Baleines;#Urgence,
VincentD_Economiste,Économiste spécialisé secteur énergie. Selon les chiffres officiels de WindEnergy Corp le projet créera 450 emplois directs pendant construction plus 80 emplois permanents pour maintenance.,2024-01-18 16:12:31,52,156,,
InfoCensure,ILS SUPPRIMENT SYSTÉMATIQUEMENT NOS MESSAGES DE VÉRITÉ ! La vérité dérange trop le pouvoir ! Rejoignez-nous tous sur Telegram avant qu'il soit définitivement trop tard !,2024-01-18 17:38:14,198,567,#Censure,
